Panel,Protein,Uniprot,OlinkRef,Intra plate CV,Inter plate CV
CARDIOMETABOLIC,ANG,P03950,OID01226,3.080470653775197,5.625573110590605
CARDIOMETABOLIC,ANGPTL3,Q9Y5C1,OID01306,2.996320696471716,4.063659010735311
CARDIOMETABOLIC,AOC3,Q16853,OID01294,2.6775422965270836,4.714747654924389
CARDIOMETABOLIC,APOM,O95445,OID01221,3.2698451287315753,5.927267281530544
CARDIOMETABOLIC,C1QTNF1,Q9BXJ1,OID01301,3.3489380094181493,5.505388078828821
CARDIOMETABOLIC,C2,P06681,OID01233,1.607808097367146,2.7324019934131574
CARDIOMETABOLIC,CA1,P00915,OID01223,2.231057300218521,4.399830773419427
CARDIOMETABOLIC,CA3,P07451,OID01235,9.115142915909631,10.5097460854147
CARDIOMETABOLIC,CA4,P22748,OID01261,5.198852688441145,6.653692768328866
CARDIOMETABOLIC,CCL14,Q16627,OID01292,2.5186794570376128,3.9920710727378714
CARDIOMETABOLIC,CCL18,P55774,OID01276,4.866229095044063,11.653680004982574
CARDIOMETABOLIC,CCL5,P13501,OID01246,2.8974703961615367,13.297059030269693
CARDIOMETABOLIC,CD46,P15529,OID01251,4.291352402069331,15.093205836010105
CARDIOMETABOLIC,CD59,P13987,OID01248,136.5311760545077,92.37914087741287
CARDIOMETABOLIC,CDH1,P12830,OID01245,4.0626613829618,6.423120983262286
CARDIOMETABOLIC,CES1,P23141,OID01263,5.415612816804507,7.495150058520788
CARDIOMETABOLIC,CFHR5,Q9BXR6,OID01302,1.625314025552307,1.9654654031654277
CARDIOMETABOLIC,CHL1,O00533,OID01216,2.93711455856865,5.195790062737945
CARDIOMETABOLIC,CNDP1,Q96KN2,OID01299,2.404139709666071,4.843456490624923
CARDIOMETABOLIC,COL18A1,P39060,OID01271,3.083253079319699,5.2880811777599215
CARDIOMETABOLIC,COMP,P49747,OID01274,1.3932861505470235,2.6046762054594716
CARDIOMETABOLIC,CR2,P20023,OID01258,1.6351943176259305,3.9320304811129163
CARDIOMETABOLIC,CRTAC1,Q9NQ79,OID01304,4.75182271684606,6.640330371553885
CARDIOMETABOLIC,CST3,P01034,OID01225,2.4776617407133052,4.928239330123374
CARDIOMETABOLIC,DPP4,P27487,OID01266,7.507985438641011,11.063416977712155
CARDIOMETABOLIC,EFEMP1,Q12805,OID01281,5.1073134799118645,6.291959639644288
CARDIOMETABOLIC,ENG,P17813,OID01254,5.308269771157729,9.726421649625296
CARDIOMETABOLIC,F11,P03951,OID01227,1.4289090163711826,2.4548021368763067
CARDIOMETABOLIC,F7,P08709,OID01239,3.15139688154994,5.674352600614049
CARDIOMETABOLIC,FAP,Q12884,OID01282,16.17420539846893,12.607431437275704
CARDIOMETABOLIC,FCGR2A,P12318,OID01244,5.176841972986356,8.522593098957609
CARDIOMETABOLIC,FCGR3B,O75015,OID01219,3.280139797238319,5.855821373011966
CARDIOMETABOLIC,FCN2,Q15485,OID01290,2.2553216028697913,5.107870969172998
CARDIOMETABOLIC,FETUB,Q9UGM5,OID01305,4.293409845805107,9.076284466199628
CARDIOMETABOLIC,GAS6,Q14393,OID01286,3.0663674845674374,4.086589931410703
CARDIOMETABOLIC,GNLY,P22749,OID01262,19.62722798537242,22.17718213146707
CARDIOMETABOLIC,GP1BA,P07359,OID01234,2.692082525836562,11.010797970159157
CARDIOMETABOLIC,ICAM1,P05362,OID01230,2.1002159635225714,3.5153825451327316
CARDIOMETABOLIC,ICAM3,P32942,OID01267,4.372558273335421,5.34519501111334
CARDIOMETABOLIC,IGFBP3,P17936,OID01255,2.2550779357005926,4.747133446581967
CARDIOMETABOLIC,IGFBP6,P24592,OID01264,2.401794878109344,3.907785223272437
CARDIOMETABOLIC,IGLC2,P0DOY2,OID01240,2.6648603561579502,4.879652638255693
CARDIOMETABOLIC,IL7R,P16871,OID01253,7.603545012026402,9.46019121645471
CARDIOMETABOLIC,ITGAM,P11215,OID01242,18.225303241201644,15.5591439582774
CARDIOMETABOLIC,KIT,P10721,OID01241,3.534104486395222,4.66048278486381
CARDIOMETABOLIC,LILRB1,Q8NHL6,OID01297,3.8350882174254646,6.891041430688907
CARDIOMETABOLIC,LILRB2,Q8N423,OID01296,3.405677779883916,5.147623268121993
CARDIOMETABOLIC,LILRB5,O75023,OID01220,3.037722519452335,2.728835259629788
CARDIOMETABOLIC,LYVE1,Q9Y5Y7,OID01307,1.4448894453058811,2.9368574694878236
CARDIOMETABOLIC,MBL2,P11226,OID01243,1.5902342836195151,2.9962184844993867
CARDIOMETABOLIC,MEGF9,Q9H1U4,OID01303,4.129288375647819,5.901854288426452
CARDIOMETABOLIC,MET,P08581,OID01238,3.6029179165983587,5.248793307416573
CARDIOMETABOLIC,MFAP5,Q13361,OID01285,7.654621586886222,8.295617253952678
CARDIOMETABOLIC,NCAM1,P13591,OID01247,2.3562191127991197,3.9831342891074595
CARDIOMETABOLIC,NID1,P14543,OID01250,5.0117115666111,15.275776073068014
CARDIOMETABOLIC,NOTCH1,P46531,OID01273,3.1682884801824276,4.771339546732386
CARDIOMETABOLIC,NRP1,O14786,OID01217,8.565340303452732,15.818735710343994
CARDIOMETABOLIC,OSMR,Q99650,OID01300,9.661920834889955,13.71074716204614
