collapsed_dx,N,mean_age,stdev_age,N_female,percent_female
Dem_AD,20,75.95,7.4936815490047834,10,0.5
MCI,60,76.55,7.87922606540963,30,0.5
N,34,73.61764705882354,9.37764817024989,18,0.5294117647058824
Other Neurodegen,33,67.81818181818181,8.545666099895847,16,0.48484848484848486
Pre-MCI_AD,10,78.7,6.056218108504496,5,0.5
